title,cost,style,category,size,url
대형식탁 대형테이블 직사각형 대리석 1400 1600,737230,lovely,table,1600,https://smartstore.naver.com/toroadabroad/products/8066478862?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=ee88e9ab16174c3da761397ea1387b2b&NaPm=ci%3Dee88e9ab16174c3da761397ea1387b2b%7Cct%3Dm5t5j2t6%7Ctr%3Dnslsl%7Csn%3D6217004%7Chk%3Db7cc3cc0b947519f3b46d528c0eedbb243247ebb
두꺼운 상판 나무 패턴 6인 식탁 1600 레스토랑 테이블 홈카페,783300,lovely,table,1600,https://smartstore.naver.com/herchafu/products/9679889960?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=24fd0f0c1c3d4e1e80a6d09605289d46&NaPm=ci%3D24fd0f0c1c3d4e1e80a6d09605289d46%7Cct%3Dm5t5j2t7%7Ctr%3Dnslsl%7Csn%3D10045614%7Chk%3D0f38302c288e9ec3da5e52a055039f6c2b7b99ce
대형식탁 6인용 식탁 테이블 아크릴 이태리 1400 1600,677250,lovely,table,1600,https://smartstore.naver.com/toroadabroad/products/8066231584?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=9885f8bb8fc04431b7251e885492e028&NaPm=ci%3D9885f8bb8fc04431b7251e885492e028%7Cct%3Dm5t5j2t7%7Ctr%3Dnslsl%7Csn%3D6217004%7Chk%3D2caf1bbdad7719686e7ed31bc21039be4651bddb
아리 회의용테이블 (라이트월넛/파스텔) / LGWD LGPD 1400 1600 1800 / 회의탁자,175320,lovely,table,1600,https://smartstore.naver.com/homeofficegagu/products/5201235413?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=b82083e69f774309a977d304458cd8be&NaPm=ci%3Db82083e69f774309a977d304458cd8be%7Cct%3Dm5t5j2t7%7Ctr%3Dnslsl%7Csn%3D1377126%7Chk%3Dfb19f4582a9eed82d7d540daccc12e056484aaff
포인트 파스텔칼라 오픈선반 TV거실장 1600티비장 미디어테이블,201780,lovely,table,1600,https://smartstore.naver.com/goldsolution/products/11119228770?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=572e438ac1624f1081904432405353cc&NaPm=ci%3D572e438ac1624f1081904432405353cc%7Cct%3Dm5t5j2t7%7Ctr%3Dnslsl%7Csn%3D1199553%7Chk%3Dc7c8661df24907febe1ccf66e36f52afb34190e4
OL LGWD/LGPD-1800/1600/1400 아리회의용테이블 (라이트월넛/파스텔) 시리즈 책상고급 중역용 책상변호사 대표이사고급스러운중역책상모던한회의용테이블예쁜테이블,179300,lovely,table,1600,https://smartstore.naver.com/yg_gagu/products/6763289450?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201600&nl-au=5a6332575d4d4b6d835809b7d5fed503&NaPm=ci%3D5a6332575d4d4b6d835809b7d5fed503%7Cct%3Dm5t5j2t8%7Ctr%3Dnslsl%7Csn%3D2932289%7Chk%3D642d88560fd7b67c69c2d10f1f63d3e03b5cc520
파스텔 거실 다이닝 테이블 1200 빈티지 식탁 카페,362600,lovely,table,1200,https://smartstore.naver.com/u_andme/products/9429835294?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=4072ec5ebbc54a398fdcf5acaf7fed21&NaPm=ci%3D4072ec5ebbc54a398fdcf5acaf7fed21%7Cct%3Dm5sgdda5%7Ctr%3Dnslsl%7Csn%3D8966695%7Chk%3Df01a0fcfb8abafca115537770a39179e060f78f0
고급 술집 식당 깔끔한 우드톤 상판 블랙 스틸 다리 테이블 1200,467240,lovely,table,1200,https://smartstore.naver.com/wonisss/products/10259135822?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=b8a687f9fe874cddb01190bab3565122&NaPm=ci%3Db8a687f9fe874cddb01190bab3565122%7Cct%3Dm5sgdda5%7Ctr%3Dnslsl%7Csn%3D6448435%7Chk%3D27fb985ff233f63e013d73c83816668e45f3676a
리빙다이닝 테이블 거실 다이닝 파스텔 원형 식탁 1200,335100,lovely,table,1200,https://smartstore.naver.com/u_andme/products/9429832507?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=a1878e569373443da940673a53551bf3&NaPm=ci%3Da1878e569373443da940673a53551bf3%7Cct%3Dm5sgdda5%7Ctr%3Dnslsl%7Csn%3D8966695%7Chk%3Ded58d5ae4359d9f24b0b0e2a1a953357e59f4cbb
오피스텔 깔끔한 고급 원목 벽테이블 1200 튼튼한 2인 우드 식탁,158200,lovely,table,1200,https://smartstore.naver.com/wonisss/products/10259831025?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=e8bb6a369808425082619f418e49ecf8&NaPm=ci%3De8bb6a369808425082619f418e49ecf8%7Cct%3Dm5sgdda5%7Ctr%3Dnslsl%7Csn%3D6448435%7Chk%3D5b1d4f15ee114d8f027359c682765966c2100f66
파스텔 소파 거실 좌식 테이블 1200,89000,lovely,table,1200,https://smartstore.naver.com/jn_furniture/products/8420537380?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=58587b05cca24f24945873225d45d630&NaPm=ci%3D58587b05cca24f24945873225d45d630%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D617804%7Chk%3Ddfbe59ae07fa5a3a37100b38c904b863ab8f7260
구스타프 웨스트맨 원형 식탁 테이블 모던 파스텔 컬러 4인용 1200,424800,lovely,table,1200,https://smartstore.naver.com/jadejanes/products/10376804036?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=3b858b91f3d94b8f8d2e3b3177a8b852&NaPm=ci%3D3b858b91f3d94b8f8d2e3b3177a8b852%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D7738084%7Chk%3Dd1c1b2383c3ba7d9c566c79f70c088492b0418e3
